week_start,city,mau_actual,mau_plan,orders_actual,orders_plan,gmv_actual_aed,gmv_plan_aed,net_revenue_actual_aed,net_revenue_plan_aed,sessions,sessions_plan,menu_views,add_to_cart,checkout_started,new_users,acquisition_promo_aed,retention_promo_aed,avg_delivery_time_min,cancellation_rate
2025-04-21,Abu Dhabi,195513,190743,150342,144359,8307548.69,7913138.48,1885813.55,1780456.16,551186,529859,395941,217252,172627,15781,276166.58,257534.01,28.9,0.0206
2025-04-28,Abu Dhabi,196499,192364,148206,145804,8113484.61,8000363.13,1841761.01,1800081.7,541854,535164,392437,213679,172043,15584,274279.73,251518.02,27.7,0.0207
2025-05-05,Abu Dhabi,198255,193999,151784,147264,8295405.98,8088549.24,1883057.16,1819923.58,567279,540523,407695,222390,176535,16342,289257.34,257157.59,27.1,0.021
2025-05-12,Abu Dhabi,199717,195648,152754,148739,8441481.84,8177707.4,1916216.38,1839984.16,557296,545935,400005,222640,177279,16104,286643.23,261685.94,27.6,0.0214
2025-05-19,Abu Dhabi,202075,197311,157569,150228,8669406.52,8267848.32,1967955.28,1860265.87,579655,551401,414633,227862,182346,16071,287677.58,268751.6,28.0,0.0199
2025-05-26,Abu Dhabi,204714,198988,157498,151732,8582585.16,8358982.85,1948246.83,1880771.14,581676,556922,418658,232299,184139,16335,294035.62,266060.14,27.4,0.0212
2025-06-02,Abu Dhabi,205517,200680,159241,153252,8812145.11,8451121.94,2000356.94,1901502.44,592137,562498,424406,234231,186293,16036,290247.35,273176.5,29.0,0.0208
2025-06-09,Abu Dhabi,208406,202385,163166,154786,9015478.19,8544276.65,2046513.55,1922462.25,598063,568131,430734,240520,191217,16539,301014.46,279479.82,27.3,0.0215
2025-06-16,Abu Dhabi,210933,204106,164173,156336,8995816.48,8638458.19,2042050.34,1943653.09,605905,573819,435323,242092,190397,16718,305939.64,278870.31,28.6,0.0203
2025-06-23,Abu Dhabi,212062,205841,161415,154743,8875686.07,8559004.3,2014780.74,1925775.97,587712,567973,426671,236210,188512,16526,304085.56,275146.27,27.8,0.021
2025-06-30,Abu Dhabi,214312,207590,165716,156293,9113333.55,8653348.18,2068726.71,1947003.34,598416,573660,430688,236805,190911,17312,320267.33,282513.34,27.6,0.021
2025-01-06,Sharjah,91776,92000,63767,64400,2995971.38,3026800.0,683081.48,690110.4,234241,236375,167598,92626,74055,7407,118507.02,92875.11,27.6,0.0204
2025-01-13,Sharjah,92639,92736,64588,65013,3042937.84,3058646.51,693789.83,697371.4,241207,238624,173664,94474,75610,7411,119320.71,94331.07,27.8,0.0197
2025-01-20,Sharjah,93494,93478,65741,65631,3093077.93,3090828.1,705221.77,704708.81,244398,240894,175519,96247,76546,7489,121326.32,95885.42,28.1,0.0202
2025-01-27,Sharjah,94286,94226,66393,66255,3127178.95,3123348.28,712996.8,712123.41,245149,243185,176042,97251,77024,7674,125091.48,96942.55,28.2,0.0212
2025-02-03,Sharjah,94694,94980,66511,66885,3150541.63,3156210.63,718323.49,719616.02,244664,245498,176613,97298,77131,7850,128733.16,97666.79,28.6,0.0211
2025-02-10,Sharjah,95096,95739,67700,67522,3195008.7,3189418.74,728461.98,727187.47,255491,247833,181158,99938,79234,7605,125481.32,99045.27,28.7,0.0208
2025-02-17,Sharjah,96552,96505,69389,68164,3312293.15,3222976.25,755202.84,734838.58,258183,250191,185776,101979,80966,7887,130928.77,102681.09,28.2,0.0211
2025-02-24,Sharjah,97597,97277,68505,68812,3241247.97,3256886.83,739004.54,742570.2,247098,252571,178691,98739,79499,7856,131201.97,100478.69,28.2,0.0204
2025-03-03,Sharjah,97335,98056,79067,79192,4156662.65,4164626.53,947719.08,949534.85,295192,290669,212931,115522,92215,7748,130164.39,128856.54,26.7,0.0208
2025-03-10,Sharjah,99106,98840,80466,79946,4220584.31,4208444.7,962293.22,959525.39,298725,293434,215063,119001,93624,8115,137140.36,130838.11,28.4,0.0221
2025-03-17,Sharjah,99984,99631,81245,80706,4288892.15,4252723.9,977867.41,969621.05,296816,296225,214716,117585,94045,8416,143067.61,132955.66,27.9,0.021
2025-03-24,Sharjah,100398,100428,82543,81474,4353104.43,4297468.98,992507.81,979822.93,303301,299043,220302,120229,96076,8260,141248.5,134946.24,28.6,0.02
2025-03-31,Sharjah,100741,101231,65557,65655,3261310.62,3279149.18,743578.82,747646.01,239535,240980,170890,94770,76041,8082,139017.21,101100.63,28.6,0.0208
2025-04-07,Sharjah,102356,102041,70221,70649,3326437.13,3363936.44,758427.67,766977.51,257501,259312,185629,101522,81547,8138,140784.4,103119.55,28.0,0.0208
2025-04-14,Sharjah,103091,102857,73228,73527,3481005.34,3504464.06,793669.22,799017.81,258954,269875,187802,105141,85122,8387,145932.22,107911.17,28.9,0.0209
2025-04-21,Sharjah,103122,103680,73913,74226,3535930.35,3541336.32,806192.12,807424.68,277765,272442,198996,108006,85660,8226,143957.91,109613.84,27.9,0.0211
2025-04-28,Sharjah,104602,104510,74748,74932,3580455.38,3578596.53,816343.83,815920.01,276774,275034,198213,108702,86427,8468,149040.25,110994.12,27.6,0.0208
2025-05-05,Sharjah,105075,105346,75979,75645,3597446.09,3616248.78,820217.71,824504.72,275943,277650,197442,108265,87928,8492,150310.11,111520.83,28.4,0.0223
2025-05-12,Sharjah,105900,106188,75878,76365,3657416.62,3654297.18,833890.99,833179.76,274403,280291,198156,109571,87390,8871,157907.12,113379.92,28.3,0.0214
2025-05-19,Sharjah,105970,107038,76809,77091,3674932.4,3692745.92,837884.59,841946.07,282624,282957,204019,112823,90074,8647,154776.45,113922.9,27.6,0.0208
2025-05-26,Sharjah,107420,107894,77218,77824,3651200.67,3731599.19,832473.75,850804.61,276204,285649,200319,110399,88908,8705,156689.19,113187.22,27.0,0.0204
2025-06-02,Sharjah,108007,108757,77631,78565,3727832.89,3770861.25,849945.9,859756.37,289815,288366,206160,113699,90135,8729,158002.52,115562.82,27.8,0.021
2025-06-09,Sharjah,109152,109628,78484,79312,3732709.86,3810536.41,851057.85,868802.3,278754,291109,200667,111996,90662,8966,163183.77,115714.01,27.6,0.0219
2025-06-16,Sharjah,110228,110505,79811,80066,3831637.43,3850629.02,873613.33,877943.42,295552,293878,212915,116695,93309,8862,162169.76,118780.76,29.3,0.021
2025-06-23,Sharjah,111018,111389,79368,79211,3837087.21,3813320.59,874855.88,869437.09,291757,290739,208661,114574,92164,9014,165864.16,118949.7,28.9,0.0206
2025-06-30,Sharjah,112039,112280,79378,79965,3859375.95,3853442.49,879937.72,878584.89,296354,293505,210876,115360,91995,9185,169925.59,119640.65,28.8,0.02
2025-01-06,Ajman,31093,31000,19841,19840,869526.04,872960.0,199990.99,200780.8,74189,72821,53589,29257,23114,2443,39089.5,26955.31,27.6,0.0212
2025-01-13,Ajman,31188,31233,20307,20019,893342.1,881707.29,205468.68,202792.68,76572,73477,54625,29862,23758,2548,41025.99,27693.61,27.6,0.0198
2025-01-20,Ajman,31386,31467,20125,20199,889154.65,890542.22,204505.57,204824.71,72980,74140,52579,29065,23257,2564,41534.19,27563.79,28.2,0.0213
2025-01-27,Ajman,31265,31703,20067,20381,884216.55,899465.69,203369.81,206877.11,73610,74808,53065,28869,23321,2471,40279.53,27410.71,27.0,0.0208
2025-02-03,Ajman,31588,31941,20192,20565,892496.18,908478.57,205274.12,208950.07,74410,75482,53369,29483,23483,2609,42783.19,27667.38,29.4,0.0204
2025-02-10,Ajman,31692,32180,20264,20750,900297.76,917581.76,207068.48,211043.81,75568,76162,54034,29604,23679,2518,41545.62,27909.23,27.7,0.0197
2025-02-17,Ajman,31719,32421,20399,20937,903758.79,926776.17,207864.52,213158.52,75945,76848,54619,29614,23625,2598,43123.68,28016.52,28.0,0.0204
2025-02-24,Ajman,32138,32665,20665,21126,909207.5,936062.71,209117.73,215294.42,74809,77541,53603,29823,23890,2578,43055.85,28185.43,28.5,0.0206
2025-03-03,Ajman,32190,32910,24360,24300,1204831.52,1196362.69,277111.25,275163.42,89029,89193,63908,35126,28156,2582,43376.05,37349.78,27.0,0.0208
2025-03-10,Ajman,32367,33156,23962,24519,1190210.51,1208350.56,273748.42,277920.63,87418,89997,63060,34909,27742,2732,46165.02,36896.53,28.4,0.0212
2025-03-17,Ajman,32541,33405,24531,24740,1203389.81,1220458.55,276779.66,280705.47,89565,90808,64444,35575,28587,2652,45083.8,37305.08,27.8,0.0211
2025-03-24,Ajman,32659,33656,23948,24963,1182394.67,1232687.86,271950.77,283518.21,87956,91626,63661,34743,27754,2589,44268.58,36654.23,28.1,0.0203
2025-03-31,Ajman,32983,33908,20010,20106,946968.2,940126.01,217802.69,216228.98,73019,73799,52504,29048,23256,2754,47373.67,29356.01,27.3,0.0217
2025-04-07,Ajman,32985,34162,21174,21625,944895.29,963955.97,217325.92,221709.87,77503,79374,55577,30635,24616,2698,46672.53,29291.75,27.7,0.0197
2025-04-14,Ajman,33269,34419,21896,22495,977849.54,1003726.86,224905.39,230857.18,80175,82566,57750,32026,25550,2685,46712.23,30313.34,28.7,0.0201
2025-04-21,Ajman,33467,34677,21766,22698,965754.55,1013784.47,222123.55,233170.43,80121,83310,58123,31943,25355,2761,48323.38,29938.39,28.7,0.0207
2025-04-28,Ajman,33523,34937,22132,22902,985692.27,1023942.85,226709.22,235506.86,81545,84061,58838,32352,25799,2719,47854.25,30556.46,28.0,0.0206
2025-05-05,Ajman,33572,35199,22286,23109,998661.3,1034203.03,229692.1,237866.7,79406,84818,57476,31916,25623,2674,47337.44,30958.5,28.5,0.0208
2025-05-12,Ajman,34041,35463,22763,23317,1007791.34,1044566.01,231792.01,240250.18,82894,85583,59337,32809,26371,2753,49011.27,31241.53,28.3,0.0214
2025-05-19,Ajman,33942,35729,22580,23527,998845.45,1055032.84,229734.45,242657.55,82872,86354,59895,32670,26286,2700,48337.92,30964.21,28.2,0.0204
2025-05-26,Ajman,33991,35997,22065,23739,990304.55,1065604.54,227770.05,245089.04,79742,87132,57586,31931,25523,2754,49576.88,30699.44,27.9,0.0214
2025-06-02,Ajman,34425,36267,22659,23953,1016636.9,1076282.18,233826.49,247544.9,83216,87917,59858,32944,26212,2766,50065.7,31515.74,28.3,0.0205
2025-06-09,Ajman,34493,36539,22905,24169,1027636.29,1087066.81,236356.35,250025.37,81554,88710,59431,32784,26507,2757,50176.67,31856.72,27.8,0.0213
2025-06-16,Ajman,34618,36813,22944,24387,1031231.22,1097959.5,237183.18,252530.68,86281,89509,61448,33736,26629,2763,50568.81,31968.17,27.6,0.0209
2025-06-23,Ajman,34813,37089,22311,24114,994949.46,1086782.11,228838.38,249959.89,83609,88509,59813,32360,25738,2760,50789.42,30843.43,28.4,0.0201
2025-06-30,Ajman,34984,37367,22707,24331,1024022.44,1097671.95,235525.16,252464.55,81764,89307,59071,32945,26387,2779,51403.24,31744.7,28.3,0.0208
